番号,用語(漢字),用語(カタカナ),x,y,タテ/ヨコ,ヒント文,解説文
55,インターネット,インターネット,47,22,タテ,IPを用いて情報を流通させる世界にまたがるネットワーク,インターネットは、世界中の小さなネットワーク同士をつないだ巨大なネットワークです。Web、メール、SNS、動画配信などは、その上で動くサービスの一部です。「インターネット＝Web」と思いがちですが、WebはHTTPという仕組みを使う代表的なサービスであり、インターネット全体とは少し違います。IPアドレスやルータ、プロトコルとつなげて理解すると、情報が世界中へ届く仕組みが見えてきます。
6,メディアリテラシー,メディアリテラシー,30,5,タテ,メディアを適切に使いこなす能力,メディアリテラシーは、テレビ、新聞、SNS、動画、広告などから得た情報をそのまま信じるのではなく、目的や発信者、根拠を考えながら読み解く力です。情報モラルが「どう使うか」に関わるのに対し、こちらは「どう受け取り、判断するか」に重点があります。画像の切り取り方や見出しだけで印象が変わることも多いので、複数の情報源を比べる習慣が大切です。
31,メディア,メディア,38,16,ヨコ,情報を伝えたり保管・記録するもの,メディアは、情報を伝えるための手段や媒体を指します。紙の本、新聞、テレビ、Webサイト、SNS、動画、音声、USBメモリのような記録媒体まで広く含みます。情報そのものではなく、情報を運んだり保存したりする「入れ物」だと考えると分かりやすいです。メディアが変わると、伝わる速さ、保存のしやすさ、信頼性、表現の仕方も変わります。
62,データ,データ,34,23,ヨコ,情報を文字等の形で具体的に表現したものであり、情報として解釈可能なもの(注2.1),データは、文字、数値、画像、音、動画などとして表された、処理や記録ができる形の情報です。たとえば「30」という数値だけでは意味が弱いですが、「気温30℃」のように文脈が加わると情報として理解できます。情報とデータは似ていますが、データはコンピュータが扱える材料、情報は人間が意味づけして理解した内容と考えると整理しやすいです。
98,情報,ジョウホウ,36,35,タテ,ものごとに対し知り得たことで、文脈により特定の意味を持つもの(注2.1）,情報は、人が何かを判断したり行動したりするために意味を持つ内容です。同じデータでも、見る人や状況によって情報としての価値は変わります。たとえば「80」という数値も、点数、気温、速度のどれかで意味がまったく違います。データ、メディア、コミュニケーションと関係が深く、情報Ⅰ全体の土台になる重要語です。
11,ブレインストーミング,ブレインストーミング,27,7,タテ,アイデアを出すための話し合いで、なんでも思いついたことを言い批判はしないなどのルールがある,ブレインストーミングは、アイデアの量を増やすための話し合いの方法です。最初から正解を探すのではなく、変な案や未完成の案も歓迎し、他人の意見を否定しないことが大切です。後で整理や評価を行うので、発想の段階では自由さを優先します。情報デザインや問題解決の授業では、プロトタイプ作成の前に使うと効果的です。
86,情報モラル,ジョウホウモラル,4,32,ヨコ,人が情報を扱う上で求められる道徳,情報モラルは、情報社会で他人を傷つけず、自分も危険に巻き込まれないための考え方や態度です。著作権、個人情報、SNSでの発信、パスワード管理など、さまざまな内容とつながります。「法律で禁止されていなければ何をしてもよい」ではなく、相手や社会にどんな影響があるかを想像する力が重要です。
43,個人情報,コジンジョウホウ,38,18,タテ,生存するある個人に関する情報。ただし、その情報に含まれる記述等によりその個人を識別できるもの。(不完全な要約)(注2.2),個人情報は、氏名や住所のように一人の個人を識別できる情報だけでなく、他の情報と組み合わせることで個人が分かるものも含みます。写真、学籍番号、メールアドレス、位置情報、制服や背景から分かる学校名なども注意が必要です。SNSに友人の写真を載せる場面では、肖像権や情報モラルとも関係します。自分にとって普通の情報でも、他人にとっては知られたくない情報かもしれません。扱うときは、集める目的、公開範囲、保存方法を考えることが大切です。
53,個人情報の保護に関する法律,コジンジョウホウノホゴニカンスルホウリツ,17,21,ヨコ,個人情報データベース等を事業に使用している事業者が従うべき規則を定めた法律(注2.3),個人情報の保護に関する法律は、事業者などが個人情報を適切に扱うためのルールを定めた法律です。単に「漏らしてはいけない」というだけでなく、利用目的を示すこと、必要以上に集めないこと、安全に管理することなどが求められます。学校や企業の名簿、アンケート、Webサービスの登録情報にも関係します。個人情報を便利に使うほど、管理する責任も大きくなります。
19,肖像権,ショウゾウケン,11,11,ヨコ,無断で写真を撮られたり、それを無断で公表・利用されることがない権利,肖像権は、自分の顔や姿を勝手に撮影されたり、公表されたり、利用されたりしないための権利です。法律名として明確に一つだけある権利ではありませんが、人格的利益として大切に扱われます。学校行事の写真やSNS投稿では、撮った人だけでなく写っている人への配慮が必要です。著作権とは別の問題なので、写真を自分で撮った場合でも自由に公開できるとは限りません。
94,知的財産権,チテキザイサンケン,15,34,ヨコ,知的財産に関する権利,知的財産権は、人間の知的な活動から生まれた作品、発明、デザイン、ブランドなどを守る権利の総称です。著作権、特許権、商標権などが含まれます。形のある物ではなく「アイデアや表現の価値」を守る点が特徴です。ただし、すべての思いつきが保護されるわけではなく、表現や発明として一定の条件を満たす必要があります。
41,産業財産権,サンギョウザイサンケン,21,18,タテ,知的財産権のうち、特許権、実用新案権、意匠権及び商標権の４つ,産業財産権は、知的財産権のうち、産業やビジネスで使われる発明、考案、デザイン、商標を守る権利です。特許権、実用新案権、意匠権、商標権の4つが代表です。著作権と違い、多くは特許庁への出願と登録が必要になります。新しい製品を作るときは、技術だけでなく名前やデザインも財産になる点がポイントです。
66,特許権,トッキョケン,51,23,タテ,特許を受けた発明を独占的に実施することができる権利,特許権は、新しい技術的な発明を一定期間独占的に使えるようにする権利です。発明を公開する代わりに、発明者や企業が利益を得られるようにする仕組みとも言えます。単なる思いつきや発見ではなく、技術として実現できる新しさや進歩性が必要です。AIやスマートフォンのような製品にも、多数の特許が関わっていることがあります。
76,実用新案権,ジツヨウシンアンケン,8,28,ヨコ,物品の形状、構造または組み合わせに係る考案を保護するための権利,実用新案権は、物品の形や構造、組み合わせに関する工夫を保護する権利です。特許権ほど高度な発明でなくても、実用的なアイデアを守れる点が特徴です。たとえば道具の形を少し工夫して使いやすくした場合などが考えられます。プログラムそのものというより、物としての構造に関わる権利だと意識すると、特許権との違いをつかみやすくなります。
69,意匠権,イショウケン,5,25,タテ,工業デザインを守る権利,意匠権は、製品の形、模様、色彩など、見た目のデザインを守る権利です。見た目は単なる飾りと思われがちですが、商品の印象や使いやすさに大きく関わるため、産業上の価値があります。スマートフォンの外観、文房具の形、家電のデザインなども対象になり得ます。著作権が作品表現を守るのに対し、意匠権は工業製品としてのデザインを守る点がポイントです。
89,商標権,ショウヒョウケン,44,32,ヨコ,商品又はサービスについて使用する商標に対して与えられる独占排他権,商標権は、商品名、サービス名、ロゴ、マークなど、他の商品やサービスと区別するための目印を守る権利です。似た名前やロゴを勝手に使われると、消費者が本物と間違えたり、ブランドの信用が下がったりします。著作権が作品を守るのに対し、商標権は「どこの商品・サービスか」を示す信用を守ります。身近な企業ロゴを見ると理解しやすい用語です。
94,著作権,チョサクケン,15,34,タテ,思想又は感情を創作的に表現したものを著作物、それに関する権利を著作権という,著作権は、小説、音楽、絵、写真、動画、プログラムなど、創作的な表現を守る権利です。登録しなくても、作品を作った時点で原則として発生します。アイデアそのものではなく、具体的に表現されたものが対象です。授業での引用、画像利用、動画編集、生成AIの利用など、学校生活でも関わる場面が多いので、「自分が作ったか」「他人の表現をどう使うか」を意識することが大切です。
57,著作物,チョサクブツ,9,23,タテ,著作権の保護対象。思想又は感情を創作的に表現したもの,著作物は、思想や感情を創作的に表現したものです。文章、絵、音楽、写真、映像、プログラムなどが代表例です。ただの事実やアイデアだけでは著作物になりにくく、表現の工夫があるかが大切です。たとえば「富士山は高い」という事実は誰でも使えますが、その説明文や写真の構図には著作物性が生まれることがあります。著作権の保護対象を考える基本用語です。
26,著作人格権,チョサクジンカクケン,16,15,ヨコ,著作権のうち、人格的な利益を保護する権利,著作人格権は、著作者の人格的な利益を守る権利です。名前を表示するか、作品を勝手に変更されないか、いつ公表するかなどに関わります。お金を得る権利である著作財産権とは性質が違い、作者の気持ちや名誉に近い部分を守ります。たとえ画像や文章を使う許可を得たとしても、作者の意図を大きく変える改変には注意が必要です。
58,著作隣接権,チョサクリンセツケン,13,23,タテ,著作物の伝達に重要な役割を果たす実演家、レコード製作者、放送事業者等に認められた権利,著作隣接権は、著作物を人々に届ける役割を持つ人や組織を守る権利です。歌手や演奏者、レコード製作者、放送事業者などが関係します。作詞作曲をした人だけでなく、演奏した人や録音した人にも保護が必要という考え方です。音楽を使うときは、曲の著作権だけでなく、音源や演奏に関する権利も問題になることがあるため注意が必要です。
38,引用,インヨウ,46,17,タテ,正当な範囲内で著作物に他の著作物の一部を取り込むこと,引用は、他人の著作物の一部を、自分の文章や発表の中で必要な範囲だけ取り込むことです。出典を示せば何でも使えるという意味ではなく、自分の説明が主で、引用部分が従であることなどの条件があります。レポートやスライドで資料を使うときによく関係します。引用は「丸写しを正当化する言葉」ではなく、根拠を示して自分の考えを強めるための方法です。
85,可用性,カヨウセイ,51,31,ヨコ,情報セキュリティ3要素の1つで、情報が必要なときに利用できること,可用性は、必要なときに情報やシステムを利用できる状態を指します。情報セキュリティの3要素の一つで、機密性や完全性と並んで重要です。たとえばサーバが故障して成績データにアクセスできなければ、内容が漏れていなくても問題です。バックアップ、停電対策、ネットワークの安定性などは可用性を高める工夫です。安全とは「隠すこと」だけではない点がポイントです。
65,完全性,カンゼンセイ,49,23,タテ,情報セキュリティ3要素の1つで、情報が失われたり改ざんされたりしないこと,完全性は、情報が正しく保たれ、勝手に変更されたり壊れたりしていない状態を指します。情報セキュリティの3要素の一つです。テストの点数や銀行口座の残高が1文字でも変わると大問題になるように、正確さは信頼の土台です。改ざん防止、入力チェック、バックアップ、ログ記録などと関係します。情報が存在していても、正しいかどうかを確認できなければ安心して使えません。
72,機密性,キミツセイ,51,25,ヨコ,情報セキュリティ3要素の1つで、情報が権利のない人に使われないこと,機密性は、情報を見たり使ったりしてよい人だけがアクセスできる状態を指します。情報セキュリティの3要素の一つで、パスワード、アクセス権、暗号化などと関係します。個人情報や成績、企業の秘密情報は機密性が特に重要です。ただし、機密性を高めすぎると使いにくくなり、可用性とのバランスが必要になることがあります。
37,ソーシャルエンジニアリング,ソーシャルエンジニアリング,32,17,タテ,情報技術以外の方法で情報を不正入手すること,ソーシャルエンジニアリングは、技術的な攻撃ではなく、人の心理や不注意を利用して情報を盗み出す方法です。肩越しに画面を見る、電話で管理者を装う、捨てられた紙から情報を拾うなどが例です。パスワードを強くしても、人がだまされれば突破されることがあります。情報セキュリティでは、コンピュータだけでなく人間も弱点になり得ることを理解する必要があります。
42,情報セキュリティ,ジョウホウセキュリティ,26,18,タテ,情報に関する安全性,情報セキュリティは、情報を安全に扱うための考え方や対策全体を指します。代表的には機密性、完全性、可用性の3要素で整理されます。ウィルス対策やパスワードだけでなく、バックアップ、教育、ルール作り、事故発生時の対応も含みます。便利な情報システムほど多くの人が使うため、技術と人の両方から守る視点が必要です。
84,ユーザID,ユーザアイディー,32,31,タテ,PCなどを使用する個人に対応した番号等,ユーザIDは、システムの中で利用者を区別するための名前や番号です。パスワードと組み合わせて本人確認に使われることが多いですが、ID自体は秘密情報とは限りません。学校のアカウントやメールアドレス、会員番号などが例です。複数人でIDを共有すると、誰が何をしたか分からなくなるため、ログ管理や責任の面でも問題が起こります。
113,パスワード,パスワード,38,40,ヨコ,アカウントやユーザIDを勝手な使用から守る合言葉,パスワードは、本人だけが知っていることを前提に、アカウントを守るための合言葉です。短いものや誕生日のように推測されやすいものは危険です。ユーザIDが家の表札なら、パスワードは鍵に近い存在です。ただし、強いパスワードでも使い回すと、一つのサービスから漏れたときに他のサービスも危険になります。二要素認証と合わせて考えると安全性が高まります。
4,ウィルス,ウィルス,37,4,タテ,他のプログラムに自分のコピーを移植することで広まるマルウェア,ウィルスは、他のプログラムなどに自分のコピーをくっつけて広がるマルウェアの一種です。現在はウィルス以外にも、ランサムウェアやスパイウェアなど多様な悪意あるソフトがあります。一般には悪いソフト全体を「ウィルス」と呼ぶこともありますが、厳密にはマルウェアの一分類です。不審な添付ファイルを開かない、OSやソフトを更新するなどの対策が重要です。
97,ファイアウォール,ファイアウォール,6,35,ヨコ,外部のネットと内部のネットの間に設置し、正当でないアクセスを防ぐ機器やソフト,ファイアウォールは、ネットワークの出入り口で通信を監視し、許可する通信と遮断する通信を分ける仕組みです。学校や会社のネットワークを外部からの攻撃から守る役割があります。火災の延焼を防ぐ防火壁にたとえられるため、この名前が使われます。ただし、すべての危険を防げるわけではなく、ウィルス対策や利用者の注意と組み合わせる必要があります。
20,不正アクセス禁止法,フセイアクセスキンシホウ,23,11,タテ,アクセス制御のあるシステムに対しその制御をバイパスして利用させることを禁じる法律,不正アクセス禁止法は、他人のIDやパスワードを使ったり、アクセス制御を突破したりして、許可なくシステムを利用することを禁止する法律です。軽い気持ちで友人のアカウントにログインする行為も問題になり得ます。情報モラルだけでなく法律にも関係する重要語です。「パスワードを教えてもらったから大丈夫」とは限らず、利用権限があるかどうかが大切です。
100,フィッシング,フィッシング,21,36,ヨコ,Webで本来のサイトに似せたサイトに誘導すること,フィッシングは、本物そっくりのメールやWebサイトで利用者をだまし、ID、パスワード、クレジットカード情報などを入力させる攻撃です。魚釣りのように相手を誘い込むことからこの名前が使われます。URLの確認、急がせる文面への警戒、公式アプリから開く習慣が対策になります。見た目が本物に似ているほど危険なので、メディアリテラシーとも関係します。
23,電子マネー,デンシマネー,13,13,タテ,現金代わりに使える電子データ化されたお金,電子マネーは、現金の代わりに電子的なデータとして金額を記録し、支払いに使う仕組みです。交通系ICカードやスマホ決済などが身近な例です。現金と違って利用履歴が残りやすく、便利な一方で個人情報やセキュリティにも関係します。チャージ型、後払い型、ポイント型など種類があり、仕組みを理解して使うことが大切です。
2,IoT,アイオーティー,24,2,タテ,あらゆるモノをインターネットに接続する技術,IoTは、家電、車、センサー、時計などのモノをインターネットにつなぎ、データを集めたり操作したりする考え方です。スマート家電や見守りセンサー、工場の機械管理などに使われます。便利になる一方で、機器が乗っ取られるとプライバシーや安全に影響します。インターネット、データ、セキュリティを結びつけて理解するとよい用語です。
12,SNS,エスエヌエス,32,7,ヨコ,Web上で社会的ネットワーク(ソーシャルネットワーク)を構築可能にするサービス,SNSは、人と人とのつながりをWeb上で作り、投稿やメッセージで情報を共有するサービスです。友人との交流だけでなく、ニュース、広告、学習、災害時の連絡にも使われます。一方で、誤情報の拡散、炎上、個人情報の流出、肖像権の問題も起こります。発信と受信の両方でメディアリテラシーと情報モラルが必要になる代表的な場面です。
116,AI,エーアイ,22,42,タテ,人間の脳で行っているような作業をコンピューターにさせること,AIは、人間が行う判断、分類、予測、文章生成などの知的な作業をコンピュータに行わせる技術や研究分野です。現在よく使われるAIは、大量のデータからパターンを学習して結果を出すものが多いです。便利ですが、常に正しい答えを出すわけではありません。データの偏り、説明のしにくさ、著作権や個人情報との関係も理解する必要があります。
80,ユニバーサルデザイン,ユニバーサルデザイン,30,29,タテ,文化や年齢・性別・能力、障害の有無などに関わらず、出来る限り幅広い人々に適応すること,ユニバーサルデザインは、年齢、国籍、障害の有無などに関わらず、できるだけ多くの人が使いやすいように最初から設計する考え方です。後から特別対応を足すだけでなく、最初の設計段階で幅広い利用者を想定する点が重要です。ピクトグラム、段差の少ない入口、読みやすい表示などが例です。アクセシビリティやユーザビリティとつながる言葉です。
111,アクセシビリティ,アクセシビリティ,21,40,ヨコ,アクセスのしやすさ、製品やサービスの利用しやすさ,アクセシビリティは、障害の有無や利用環境に関係なく、情報やサービスにアクセスし利用できる度合いを表します。Webページなら、読み上げソフトで読める、色だけに頼らない、キーボードだけで操作できるなどが大切です。ユーザビリティが「使いやすさ」に近いのに対し、アクセシビリティは「そもそも使えるか」に強く関係します。
28,ユーザビリティ,ユーザビリティ,31,15,ヨコ,使いやすさ、目標達成に有効・効率的かつ快適であること,ユーザビリティは、利用者が目的を達成しやすく、効率よく、気持ちよく使えるかを表す考え方です。ボタンの位置、文字の大きさ、操作手順の分かりやすさなどが関係します。アクセシビリティが利用可能性を重視するのに対し、ユーザビリティは使いやすさや満足度に近いです。情報デザインでは、作った人の都合ではなく使う人の視点で考えることが重要です。
112,ビッグデータ,ビッグデータ,25,40,タテ,さまざまな形をし、さまざまな性格を持った、さまざまな種類のデータ,ビッグデータは、量が多いだけでなく、種類が多く、発生する速度も速いデータの集まりを指します。検索履歴、購買履歴、SNS投稿、センサーデータなどが例です。AIやデータ分析では価値ある材料になりますが、個人情報や偏りの問題もあります。「大きいデータなら必ず正しい」というわけではなく、集め方や目的を考える必要があります。
74,コミュニケーション,コミュニケーション,38,27,タテ,人が人に意図を持って情報を伝えること,コミュニケーションは、人が意図を持って情報を伝え、相手がそれを受け取って意味を理解する活動です。言葉だけでなく、表情、図、音、文字、メディアなども関係します。送り手、受け手、メッセージ、媒体、文脈のどれかがずれると誤解が生まれます。情報デザインやプレゼンテーションでは、相手にどう伝わるかを考えることが重要です。
83,E-メール,イーメール,22,31,ヨコ,ネット上で手紙のようにメッセージをやりとりするシステム,E-メールは、インターネットを使って手紙のようにメッセージを送受信する仕組みです。送信にはSMTP、受信や管理にはIMAPなどのプロトコルが関係します。SNSより形式的な連絡や記録に向いており、学校や仕事でも多く使われます。一方で、添付ファイルによるウィルス感染やフィッシングメールもあるため、差出人やURLの確認が必要です。
82,符号化,フゴウカ,33,30,ヨコ,様々な情報を一連の記号(符号)で表現できるよう体系化すること,符号化は、文字、音、画像などの情報を、コンピュータが扱える記号やビット列に変換することです。文字コード、音声の標本化と量子化、画像の画素化などは符号化の例です。人間にとって意味のある情報を、0と1で処理できる形にする橋渡しだと考えると分かりやすいです。復号や圧縮とも深く関係します。
54,バイト,バイト,46,22,ヨコ,8ビット,バイトは、一般に8ビットをまとめたデータ量の単位です。文字、画像、音声、動画などのデータサイズを表すときによく使われます。1KB、1MB、1GBのように大きな単位へ広げて考えます。ビットが0か1の最小単位であるのに対し、バイトは実際のファイルサイズを考えるときに使いやすい単位です。半角英数字1文字がだいたい1バイトだった歴史もあります。
29,ビット,ビット,34,15,タテ,0か1か、のように2つのうちどちらかの情報。デジタルデータの最小単位,ビットは、0か1かという2通りの状態を表す、デジタルデータの最小単位です。コンピュータは電気信号のオン・オフを利用して情報を扱うため、ビットが基本になります。8ビットをまとめると1バイトになり、文字コードや画像、音声のデータ量にも関係します。情報Ⅰでは、2進法、符号化、データ量を理解する出発点になる用語です。
50,文字コード,モジコード,0,21,タテ,文字に対して割り振った番号ないしビット列,文字コードは、文字一つ一つに番号やビット列を割り当てる仕組みです。コンピュータは文字を直接理解しているのではなく、対応する数値として保存・処理しています。ASCIIコードやUnicodeは代表的な文字コードです。文字化けは、保存したときの文字コードと読むときの解釈がずれることで起こることがあります。日本語を扱うときは特に重要な考え方です。
32,ASCIIコード,アスキーコード,41,16,タテ,英数字などを含む7ビットのコード体系,ASCIIコードは、英数字や記号、制御文字を7ビットで表す古くからある文字コードです。英語圏のコンピュータ通信の基礎として広く使われました。日本語のような多くの文字は表せないため、現在はUnicodeなどと組み合わせて理解する必要があります。プログラミングで文字と数値の関係を学ぶとき、Aや0のコード番号を見ると符号化の考え方が実感できます。
93,UNICODE,ユニコード,3,34,タテ,世界の多くの文字をまとめて含むコード体系,UNICODEは、世界中の多くの文字を共通して扱えるようにした文字コードの体系です。日本語、英語、絵文字、さまざまな国の文字を同じ考え方で表せる点が特徴です。Webやスマートフォンで多言語が表示できる背景にはUnicodeの存在があります。ASCIIコードより範囲が広く、文字化けを減らすためにも重要です。ただし、実際の保存形式にはUTF-8などの符号化方式が関係します。
1,フォント,フォント,27,0,タテ,統一された書体の文字のセット,フォントは、同じデザイン方針で作られた文字の形のセットです。同じ文章でも、明朝体、ゴシック体、手書き風などで印象や読みやすさが変わります。情報デザインでは、見た目の好みだけでなく、目的、読みやすさ、強調、雰囲気を考えて選ぶ必要があります。文字コードが「どの文字か」を表すのに対し、フォントは「どう見せるか」を決めるものです。
60,ピクセル,ピクセル,24,23,ヨコ,デジタル画像の1つの点,ピクセルは、デジタル画像を構成する最小の点です。画面に表示される写真やイラストは、多数のピクセルが集まってできています。ピクセル数が多いほど細かく表現できますが、ファイルサイズも大きくなりやすいです。解像度、階調、圧縮とつなげて考えると、画像データの仕組みが理解しやすくなります。拡大しすぎると四角い点が見えるのもピクセルのためです。
75,解像度,カイゾウド,2,28,ヨコ,画素の細かさの度合い,解像度は、画像や画面がどれだけ細かく表現できるかを示す度合いです。一般にはピクセル数や1インチあたりの点の数で表されます。解像度が高いほど細部を表しやすいですが、必ず見やすいとは限らず、表示する画面や印刷サイズとの関係が大切です。画像を無理に拡大しても元の情報が増えるわけではない点は誤解しやすいポイントです。
8,階調,カイチョウ,13,7,タテ,彩度・明度・色相の段階数,階調は、色や明るさを何段階で表現できるかを表します。白黒画像でも、白と黒だけなら2階調、灰色を細かく表せば多階調になります。音の量子化と同じように、連続的な値を段階に分けてデジタル化する考え方と関係します。階調が少ないと、なめらかなグラデーションが段々に見えることがあります。画像の美しさは解像度だけでなく階調にも左右されます。
70,圧縮,アッシュク,23,25,ヨコ,データを少ないビット数で済むように変換すること,圧縮は、データの内容をなるべく少ないビット数で表せるように変換することです。画像、音声、動画、文書ファイルなどで広く使われます。保存容量を減らしたり、通信時間を短くしたりするのに役立ちます。可逆圧縮と非可逆圧縮があり、元に完全に戻せるかどうかが大きな違いです。便利ですが、圧縮しすぎると画質や音質が下がる場合があります。
10,可逆圧縮,カギャクアッシュク,19,7,タテ,圧縮したものを伸長すると元と同じになる圧縮方法,可逆圧縮は、圧縮したデータを元に戻したとき、完全に同じデータに復元できる方法です。文書ファイルやプログラムなど、1文字でも変わると困るデータに向いています。ZIPやPNGなどが例です。非可逆圧縮と比べると圧縮率は低くなりがちですが、正確さを保てるのが長所です。完全性を重視するデータでは、可逆であることが大きな意味を持ちます。
63,非可逆圧縮,ヒカギャクアッシュク,40,23,タテ,圧縮したものを伸長した時に完全には元に戻らない圧縮方法,非可逆圧縮は、元のデータの一部を捨てることで、より小さなデータ量にする圧縮方法です。JPEG画像やMP3音声、動画圧縮などで使われます。人間が気づきにくい情報を減らすため、見た目や聞こえ方を大きく変えずにサイズを小さくできます。ただし、元には完全に戻せません。何度も保存し直すと劣化が目立つ場合がある点に注意が必要です。
51,標本化,ヒョウホンカ,8,21,ヨコ,信号の値を一定間隔で読み取ること,標本化は、連続的に変化する音や信号を、一定の時間間隔で区切って値を読み取ることです。アナログの音をデジタルデータにする最初の重要な手順です。読み取る間隔が細かいほど、元の変化を詳しく記録できますが、データ量も増えます。量子化と組み合わせて、音声や画像をコンピュータで扱える形に変換します。サンプリングとも呼ばれます。
103,量子化,リョウシカ,34,37,ヨコ,DA変換で読み取った値を何段階かのデジタル値に直すこと,量子化は、標本化で読み取った値を、あらかじめ決めた段階のどれかに割り当てることです。たとえば音の大きさを細かい段階の数値に変換します。段階数が多いほど元の信号に近づきますが、データ量も増えます。画像の階調や音声のビット深度とも関係します。アナログの連続した世界を、デジタルの区切られた値にする重要な考え方です。
97,フレームレート,フレームレート,6,35,タテ,1秒あたりのフレーム数,フレームレートは、動画やアニメーションで1秒間に何枚の静止画を表示するかを表す値です。単位はfpsがよく使われます。値が高いほど動きがなめらかに見えますが、データ量や処理負荷も増えます。映画、ゲーム、スマートフォン動画では目的に応じて異なるフレームレートが使われます。解像度や圧縮と同じく、画質とデータ量のバランスを考える用語です。
9,2進法,ニシンホウ,15,7,タテ,0と1の数字を用い、1桁進むごとに値が2倍になる記数法,2進法は、0と1の2種類の数字だけで数を表す記数法です。コンピュータは電気信号のオン・オフを扱いやすいため、内部では2進法が基本になります。1桁左に進むごとに値が2倍になる点は、10進法で10倍になるのと対応しています。ビット、バイト、文字コード、画像データなど、デジタル情報の理解に欠かせない土台です。
64,16進法,ジュウロクシンホウ,42,23,タテ,0?9およびA?Fの数字を用い、1桁進むごとに値が16倍になる記数法,16進法は、0から9とAからFを使って数を表す記数法です。1桁で4ビット分を表せるため、2進数を短く読みやすく書くときに便利です。色コード、メモリアドレス、文字コードの表示などでよく使われます。Aは10、Fは15を表す点が最初は間違えやすいです。2進法と対応させて考えると、なぜ情報分野でよく使われるのかが分かります。
95,ピクトグラム,ピクトグラム,43,34,タテ,多くの人が直感的に理解できるシンプルな絵やマーク,ピクトグラムは、文字を使わず、単純化した絵やマークで意味を伝える表現です。非常口、トイレ、交通案内、スポーツ競技のマークなどが身近です。言語が違っても直感的に伝わりやすい反面、文化や経験によって解釈がずれることもあります。ユニバーサルデザインや情報デザインと関係し、誰にでも分かる表現を考える題材として使いやすい用語です。
114,ヒストグラム,ヒストグラム,4,41,ヨコ,柱状グラフ、度数分布を(度数0のところ以外は)互いに隣接した柱で表したグラフ,ヒストグラムは、数値データをいくつかの範囲に分け、それぞれに入るデータの個数を柱の高さで表すグラフです。棒グラフに似ていますが、横軸が連続した数値の範囲で、柱を隙間なく並べる点が特徴です。テストの点数分布や身長の分布を見るときに役立ちます。平均だけでは分からない、ばらつきや偏りを確認できるのが強みです。
76,情報デザイン,ジョウホウデザイン,8,28,タテ,情報を目的に応じて収集・分析・再構築してわかりやすい表現に変換すること,情報デザインは、情報を相手に分かりやすく伝えるために、内容、順序、表現方法を工夫して設計することです。文字の大きさ、色、図表、配置、操作画面などが関係します。単に見た目をきれいにすることではなく、目的に合わせて誤解なく伝わるようにするのが重要です。アクセシビリティ、ユーザビリティ、プレゼンテーションとも深くつながります。
13,プレゼンテーション,プレゼンテーション,17,8,タテ,話題を決めてスライドなどを使って聞き手に向けて発表すること,プレゼンテーションは、聞き手に向けて情報や考えを分かりやすく伝える発表です。スライドはあくまで補助であり、目的、聞き手、構成、話し方が重要になります。情報デザインの考え方を使うと、文字を詰め込みすぎず、図や具体例で伝えやすくできます。上手なプレゼンは、単に話が長いことではなく、聞き手が理解して行動できることを目指します。
