番号,用語(漢字),用語(カタカナ),x,y,タテ/ヨコ,ヒント文,解説文
79,HTML,エイチティーエムエル,28,29,タテ,Webページのコンテンツを記述するマークアップ言語,HTMLは、Webページの見出し、段落、画像、リンクなどの構造を記述するためのマークアップ言語です。プログラミング言語と呼ばれることもありますが、主な役割は計算処理ではなく文書構造を示すことです。CSSやJavaScriptと組み合わせることで、見た目や動きを加えられます。HTTPで取り寄せられ、ブラウザが解釈して表示する点もWebの仕組みと関係します。
107,ハードウェア,ハードウェア,49,38,ヨコ,機械や電子機器の装置,ハードウェアは、コンピュータを構成する物理的な機械や電子部品です。CPU、メインメモリ、補助記憶装置、キーボード、ディスプレイなどが含まれます。ソフトウェアが指示やデータであるのに対し、ハードウェアは実際に動く装置です。どちらか一方だけではコンピュータは役に立たず、OSやアプリケーションと組み合わせて機能します。
6,メインメモリ,メインメモリ,30,5,ヨコ,CPUと密接に協働する番地のついた記憶装置,メインメモリは、CPUがプログラムやデータを一時的に置いて作業するための記憶装置です。補助記憶装置より高速ですが、電源を切ると内容が消えることが多いです。机の上の作業スペースにたとえると分かりやすく、広いほど同時に多くの作業をしやすくなります。CPU、OS、アプリケーションの動作速度にも関係する重要な部品です。
5,CPU,シーピーユー,23,5,ヨコ,コンピュータの中枢部分で、演算とプログラム実行を司る,CPUは、コンピュータの中心となり、計算や命令の実行を行う装置です。人間にたとえると頭脳に近い役割を持ちますが、実際にはメインメモリから命令を読み、順番に処理していきます。性能はクロック周波数やコア数だけで決まるわけではありません。プログラム、OS、ハードウェア全体の関係を理解すると、CPUの役割がより分かります。
-,bit,ビット,-1,-1,-,0か1か、のように2つのうちどちらかの情報。デジタルデータの最小単位,bitは、ビットを英字で表したもので、0か1かの2通りの状態を表す最小単位です。通信速度ではbpsのようにビット単位が使われ、ファイルサイズではバイト単位が使われることが多いです。bitとbyteは似ていますが、1byteは一般に8bitなので混同しないことが大切です。データ量やネットワーク速度を読むときの基本になります。
52,補助記憶装置,ホジョキオクソウチ,11,21,タテ,主記憶よりも遅いが大容量・低コストな記憶装置,補助記憶装置は、データやプログラムを長期間保存するための記憶装置です。SSD、HDD、USBメモリなどが代表です。メインメモリより低速なことが多いですが、大容量で電源を切っても内容が残ります。机の引き出しや本棚のような存在だと考えると分かりやすいです。保存容量、読み書き速度、バックアップの考え方とも関係します。
37,ソフトウェア,ソフトウェア,32,17,ヨコ,動くコンピュータの要素のうち、ハードウェア以外のもの。プログラム・データ等,ソフトウェアは、コンピュータを動かすためのプログラムやデータの集まりです。OS、アプリ、ゲーム、ブラウザなどが含まれます。ハードウェアが機械そのものなら、ソフトウェアはその機械に何をさせるかを決める指示や仕組みです。更新によって機能が増えたり不具合が修正されたりしますが、脆弱性対策のためにもアップデートは重要です。
39,プログラム,プログラム,6,18,ヨコ,コンピュータの動作内容を定める、指示書のようなもの,プログラムは、コンピュータに実行させたい処理を順序立てて書いた指示の集まりです。料理のレシピのように、手順が曖昧だと期待どおりに動きません。プログラミング言語で書かれ、変数、分岐、反復、関数などを組み合わせて作ります。コンピュータは空気を読まないため、人間が意図を正確に表現することが大切です。
44,基本ソフト,キホンソフト,44,18,ヨコ,コンピュータを動かしたり有効に使うためのソフトウェア,基本ソフトは、コンピュータ全体を管理し、アプリケーションソフトを動かす土台となるソフトウェアです。代表例はOSです。ファイル管理、画面表示、入力装置の制御、メモリ管理など、利用者が意識しにくい部分も担当します。アプリが直接ハードウェアを細かく操作しなくてもよいのは、基本ソフトが仲介しているからです。
47,アプリケーションソフトウェア,アプリケーションソフトウェア,35,19,タテ,人間がやりたい特定の作業をやらせてくれるソフトウェア,アプリケーションソフトウェアは、利用者が文書作成、表計算、画像編集、Web閲覧、ゲームなど特定の目的を達成するために使うソフトウェアです。OSの上で動作し、利用者にとって最も目に見えやすい存在です。基本ソフトが土台なら、アプリケーションソフトはその上で行う具体的な作業道具です。目的に合うアプリを選ぶことも情報活用能力の一部です。
40,OS,オーエス,12,18,ヨコ,コンピュータ内の資源を管理し、ユーザが使いたいソフトウェアを動かしてくれる基本ソフト,OSは、コンピュータの資源を管理し、アプリケーションソフトを動かす基本ソフトです。Windows、macOS、iOS、Android、Linuxなどが例です。CPU、メモリ、ファイル、ネットワーク、画面表示などを管理し、利用者とハードウェアの間を仲介します。アプリはOSに依存する部分があるため、同じアプリでも対応OSが決まっていることがあります。
59,プログラミング言語,プログラミングゲンゴ,15,23,タテ,プログラムを書くのに用いる記法,プログラミング言語は、人間がコンピュータに処理を指示するために使う人工的な言語です。Python、JavaScript、C、Javaなどが代表例です。日本語のような自然言語と違い、書き方の規則が厳密で、少しの記号の違いでエラーになることがあります。ただし、考えるべき本質は言語名よりも、順次、分岐、反復、変数、関数などの考え方です。
91,フローチャート,フローチャート,12,33,タテ,プログラムの実行の流れを表す図法,フローチャートは、処理の流れを図で表す方法です。開始・終了、処理、判断、入出力などを決まった図形で表し、矢印で順序を示します。プログラムを書く前に手順を整理したり、他人に処理内容を説明したりするのに役立ちます。順次構造、分岐構造、反復構造を視覚的に確認できるため、アルゴリズムの理解にも向いています。
87,基本ソフトウェア,キホンソフトウェア,21,32,タテ,コンピュータを動かしたり有効に使うためのソフトウェア,基本ソフトウェアは、コンピュータを動かす土台となるソフトウェアで、OSとほぼ同じ意味で使われることが多いです。ハードウェアを管理し、アプリケーションソフトが共通の方法で動けるようにします。利用者がファイルを保存したり、プリンタを使ったりできるのも、基本ソフトウェアが裏側で調整しているからです。アプリとの違いを意識すると整理しやすい用語です。
16,API,エーピーアイ,32,9,ヨコ,ライブラリの手続き(関数)呼び出し方法をまとめたもの,APIは、ソフトウェア同士が機能を呼び出したりデータをやり取りしたりするための窓口や約束事です。たとえば地図サービスの機能を別のアプリで使うとき、APIが利用されることがあります。中身の詳しい作りを知らなくても、決められた呼び出し方を使えば機能を利用できます。ライブラリ、Webサービス、アプリ連携を理解するうえで重要な考え方です。
110,変数,ヘンスウ,33,39,ヨコ,プログラム中で値を保持する機構,変数は、プログラムの中で値を一時的に保存し、後から利用するための名前付きの箱のようなものです。数値、文字列、リストなどさまざまな値を入れられます。ただし、数学の変数と違い、プログラムでは途中で値を書き換えることが多いです。代入、参照、更新の流れを理解すると、カウンタや合計計算、条件分岐のプログラムが読みやすくなります。
81,順次構造,ジュンジコウゾウ,3,30,ヨコ,複数の動作を順に実行することを1つの動作と考えること,順次構造は、処理を上から順番に実行していく基本的な流れです。プログラムは特別な指示がなければ、書かれた順に命令を進めます。料理の手順のように、順番が変わると結果も変わることがあります。分岐構造や反復構造と並ぶ、構造化プログラミングの基本要素です。複雑なプログラムも、まずは順番に何が起こるかを追うことが大切です。
34,分岐構造,ブンキコウゾウ,44,16,タテ,複数の動作から1つを選び実行すること,分岐構造は、条件によって実行する処理を変える構造です。プログラムではif文などで表され、「点数が80点以上なら合格」「雨なら傘を持つ」のような判断を行います。条件式が正しいか、境界の値をどう扱うかが間違えやすいポイントです。順次構造だけでは同じ処理しかできませんが、分岐により状況に応じた動きが作れます。
49,反復構造,ハンプクコウゾウ,37,20,ヨコ,一連の動作を繰り返し実行すること,反復構造は、同じ処理を条件に応じて繰り返す構造です。for文やwhile文で表され、合計を求める、リストを順に処理する、条件が満たされるまで続けるといった場面で使います。繰り返しの回数や終了条件を間違えると、無限ループになることがあります。順次・分岐・反復の3つを組み合わせることで、多くのアルゴリズムを表現できます。
107,配列,ハイレツ,49,38,タテ,値が連続して並んでいる構造,配列は、複数の値を順番に並べてまとめて扱うデータ構造です。プログラミング言語によってはリストと呼ばれることもあります。テストの点数、名前の一覧、画像のピクセル列など、同じ種類のデータを扱うときに便利です。何番目の要素かを示す添字を使いますが、0番目から始まる言語も多いため、最初は数え間違いに注意が必要です。
106,関数,カンスウ,39,38,タテ,手続きとも言う。コードの集まりに名前を付け、引数を渡して呼び出せるようにしたもの,関数は、まとまった処理に名前を付け、必要に応じて呼び出せるようにしたものです。入力として引数を受け取り、結果として戻り値を返すことがあります。同じ処理を何度も書かずに済み、プログラムを読みやすく保守しやすくします。数学の関数と似ていますが、画面表示やファイル操作のように、値を返すだけでない処理も関数として扱われます。
22,Algorithm,アルゴリズム,10,13,タテ,問題を解決するための手順ないし計算方法,Algorithmは、日本語ではアルゴリズムと呼ばれ、問題を解決するための明確な手順や計算方法を指します。料理のレシピ、駅までの道順、並べ替えの手順なども広い意味ではアルゴリズム的に考えられます。プログラムはアルゴリズムをコンピュータが実行できる形に書いたものです。正しさだけでなく、速さや分かりやすさも重要になります。
45,分散,ブンサン,20,19,ヨコ,「それぞれの値から平均を引いた値の2乗」の平均値,分散は、データが平均のまわりにどのくらい散らばっているかを表す値です。それぞれの値と平均の差を2乗して平均するため、平均から大きく離れた値ほど強く影響します。平均が同じ2つのクラスでも、分散が違えば点数のばらつきは違います。標準偏差や外れ値の理解にもつながります。単に代表値を見るだけでなく、データの広がりを見るための用語です。
73,シミュレーション,シミュレーション,23,27,タテ,実物の代わりに模型やモデルを用いてやってみること,シミュレーションは、現実の現象を直接試す代わりに、モデルやコンピュータを使って再現し、結果を調べる方法です。天気予報、交通渋滞、感染症の広がり、ゲームの物理演算などに使われます。現実を完全に再現できるわけではないため、モデルの前提が重要です。モデリングとセットで考えると、何を簡略化し、何を重視しているのかが見えてきます。
18,モデリング,モデリング,24,10,ヨコ,モデルを作ること,モデリングは、現実の対象や仕組みを理解しやすい形に単純化してモデルを作ることです。地図、グラフ、数式、プログラム、3Dモデルなどが例です。現実をすべてそのまま写すのではなく、目的に必要な部分を選んで表します。シミュレーションは、作ったモデルを使って動きを試すことが多いです。良いモデルは、単純でありながら目的に対して役に立つものです。
35,プロトコル,プロトコル,49,16,タテ,通信のために守らなければならない決まり事,プロトコルは、コンピュータ同士が通信するときに守る決まり事です。どの形式で送るか、どの順番でやり取りするか、エラー時にどうするかなどを定めます。HTTP、SMTP、IMAP、TCP/IPなどが代表例です。人間同士でも、電話では「もしもし」、手紙では宛名を書くように、通信には共通の約束が必要です。プロトコルが合わなければ、機器同士は正しく会話できません。
21,パケット,パケット,34,12,ヨコ,データを決まった大きさの単位に分けたもの,パケットは、ネットワークで送るデータを小さな単位に分けたものです。大きなデータをそのまま送るのではなく、小包のように分けて送り、受け取った側で組み立てます。途中で別々の経路を通ることもあります。ルータはパケットの宛先を見て次の送り先を判断します。インターネットが多くの通信を同時に扱える背景には、このパケット通信の考え方があります。
61,LAN,ラン,31,23,ヨコ,局所的な範囲でつながっているネットワーク,LANは、学校、家庭、会社など限られた範囲の中で機器をつなぐネットワークです。プリンタ共有、ファイル共有、校内サーバへの接続などに使われます。無線LANはケーブルではなく電波でつなぐLANです。WANやインターネットと比べると範囲が狭く、管理者が比較的把握しやすい点が特徴です。身近なネットワークの基本として理解しやすい用語です。
77,WAN,ワン,31,28,ヨコ,LANを含む、広範囲につながったネットワーク,WANは、広い範囲にまたがるネットワークです。企業の本社と支店をつないだり、国や地域を越えて通信したりする場合に使われます。LANが校内や家庭内のような狭い範囲を指すのに対し、WANはそれらをさらに広く結ぶイメージです。インターネットは世界規模のWANの代表的な例と考えることもできます。距離が広がるほど、回線、速度、安全性の管理が重要になります。
88,TCP/IP,ティーシーピーアイピー,28,32,ヨコ,インターネットで使われる通信プロトコルの総称,TCP/IPは、インターネットで広く使われる通信プロトコル群の総称です。IPは宛先に向けてパケットを届ける役割、TCPはデータが正しく届くように確認しながら通信する役割を持ちます。Web、メール、ファイル転送など多くのサービスの土台になっています。単一のプロトコル名というより、複数の約束事を組み合わせた通信の基本セットと考えると分かりやすいです。
48,インターネットサービスプロバイダ,インターネットサービスプロバイダ,19,20,タテ,学校、家庭、企業などのLANをインターネットに繋いでくれる事業者,インターネットサービスプロバイダは、家庭、学校、会社などをインターネットに接続するためのサービスを提供する事業者です。略してISPとも呼ばれます。回線そのものを提供する会社と、接続サービスを提供する会社が分かれる場合もあります。インターネットは勝手につながっているのではなく、LANから外部のネットワークへ出るためにプロバイダなどの仕組みが関わっています。
3,クライアント,クライアント,22,3,ヨコ,ユーザごとに起動されサーバからサービスを受けるプログラム,クライアントは、サーバに対してサービスを要求し、結果を受け取る側のプログラムやコンピュータです。Webブラウザ、メールアプリ、スマホアプリなどが例です。サーバが情報や機能を提供し、クライアントがそれを利用するという関係をクライアントサーバ方式と呼びます。利用者の端末そのものをクライアントと呼ぶこともありますが、本来は役割を表す言葉です。
46,サーバ,サーバ,28,19,ヨコ,管理されたサーバシステム上で動き多数のクライアントにサービスを提供するプログラム,サーバは、多数のクライアントに対してサービスやデータを提供するコンピュータやプログラムです。Webページを返すWebサーバ、メールを扱うメールサーバ、ファイルを保存するファイルサーバなどがあります。高性能な専用機だけでなく、役割としてサーバと呼ぶ点がポイントです。クライアントとサーバの関係を理解すると、Webやメールの仕組みが見えやすくなります。
68,ドメイン名,ドメインメイ,0,25,ヨコ,TCP/IPでホスト・サイトを識別する英数字の名前,ドメイン名は、インターネット上のコンピュータやサービスを人間が覚えやすい文字列で表した名前です。IPアドレスは数字の住所のようなものですが、ドメイン名は分かりやすい名前に当たります。DNSという仕組みにより、ドメイン名からIPアドレスが調べられます。URLの一部にも含まれ、Webサイトの信頼性を判断するときにも確認したいポイントです。
14,IPアドレス,アイピーアドレス,21,8,ヨコ,IPが使用する32ビット(IPv6では128ビット)のアドレス,IPアドレスは、ネットワーク上の機器を識別するための住所のような番号です。IPv4では32ビット、IPv6では128ビットで表されます。Webサイトにアクセスするときも、最終的には相手のIPアドレスを使って通信しています。ドメイン名は人間に分かりやすい名前で、IPアドレスは機械が通信するための宛先だと考えると整理しやすいです。LAN内の住所とインターネット上の住所の違いにも注意が必要です。
104,ルータ,ルータ,11,38,ヨコ,パケットを経路制御表に従って正しい方向に送る機器,ルータは、ネットワークとネットワークの間でパケットを適切な方向へ送る機器です。家庭では、家のLANとインターネットをつなぐ役割を持つことが多いです。宛先のIPアドレスを見て、次にどこへ送るかを判断します。ハブが同じLAN内の接続を助けるのに対し、ルータは異なるネットワーク同士を結ぶ点が重要です。通信の交通整理役と考えると分かりやすいです。
33,ハブ,ハブ,43,16,ヨコ,LANのインタフェースからの線を集約し相互に接続する機器,ハブは、LAN内で複数の機器を接続するための装置です。古い意味では受け取った信号を全ポートに流す機器を指しますが、現在はスイッチングハブが一般的です。ルータがネットワーク同士をつなぐのに対し、ハブは同じネットワーク内の機器を集める役割です。家庭や学校の配線で、複数のPCや機器をつなぐ場面をイメージすると理解しやすいです。
115,無線LAN,ムセンラン,20,41,タテ,無線で構築されたLAN,無線LANは、ケーブルではなく電波を使って機器をLANに接続する仕組みです。Wi-Fiは無線LANの代表的な規格や認証ブランドとして使われます。便利で移動しやすい一方、電波が届く範囲では第三者に通信を狙われる可能性もあるため、暗号化や強いパスワードが必要です。有線LANと比べて、距離や障害物、混雑によって速度や安定性が変わりやすい点も特徴です。
108,暗号化,アンゴウカ,54,38,タテ,もとの文(平文)を暗号文に変換すること,暗号化は、平文を第三者に読みにくい暗号文へ変換することです。通信内容や保存データを守るために使われます。暗号化してもデータが消えるわけではなく、正しい鍵を持つ人だけが復号して読めるようになります。共通鍵方式と公開かぎ暗号方式が代表的です。HTTPSやWi-Fiの保護など、普段のネット利用にも暗号化は深く関わっています。
25,復号,フクゴウ,8,15,ヨコ,暗号文をもとの文(平文)に変換すること,復号は、暗号化された暗号文を、読める平文に戻すことです。暗号化と対になる処理で、正しい鍵や手順がなければ元に戻せません。情報セキュリティでは、通信中に盗み見られても内容を理解されにくくするために暗号化と復号が使われます。復号できる人をどう管理するかが重要で、鍵を失ったり漏らしたりすると安全性や可用性に大きく影響します。
92,平文,ヒラブン,25,33,タテ,暗号化する前の、もとの文,平文は、暗号化される前の、普通に読める状態のデータや文章です。メール本文、パスワード、個人情報などが平文のまま通信されると、盗み見られたときに内容がそのまま分かってしまいます。暗号化は平文を暗号文に変える処理であり、復号は暗号文を平文に戻す処理です。セキュリティを考えるときは、どこで平文になっているかを意識することが大切です。
71,共通鍵方式,キョウツウカギホウシキ,34,25,ヨコ,暗号化と復号の両方におなじ鍵を使用する暗号方式,共通鍵方式は、暗号化と復号に同じ鍵を使う暗号方式です。処理が速いため大量のデータ通信に向いていますが、相手に安全に鍵を渡す方法が課題になります。家の合鍵を渡すイメージに近く、鍵を持つ人は暗号化も復号もできます。公開かぎ暗号方式と組み合わせて使われることも多く、HTTPSなどの安全な通信の理解につながります。
53,公開かぎ暗号方式,コウカイカギアンゴウホウシキ,17,21,タテ,暗号化と復号の両方に異なる鍵を使用する暗号方式,公開かぎ暗号方式は、暗号化と復号に異なる鍵を使う暗号方式です。公開鍵は他人に知らせてもよく、秘密鍵は本人だけが持ちます。鍵を事前に安全に共有しにくい相手とも安全に通信しやすい点が特徴です。共通鍵方式より処理は重くなりがちなので、実際の通信では両者を組み合わせることがあります。デジタル署名やHTTPSの仕組みにも関係します。
67,セキュリティポリシー,セキュリティポリシー,44,24,タテ,企業や組織において実施する情報セキュリティ対策の方針や行動指針,セキュリティポリシーは、組織が情報を安全に扱うための方針やルールをまとめたものです。パスワードの管理、端末の持ち出し、メール利用、事故発生時の対応などが含まれます。単に禁止事項を並べるだけでなく、なぜ守る必要があるのか、誰が何を担当するのかを明確にすることが大切です。技術対策と人の行動を結びつける役割があります。
17,IMAP,アイマップ,36,9,タテ,受け取ったメールをサーバ内で保管し整理・アクセスできるプロトコル,IMAPは、メールをサーバ上に保存したまま、複数の端末から読んだり整理したりできる受信用のプロトコルです。スマートフォンとパソコンで同じメールボックスを見られるのは、IMAPの仕組みが関係することがあります。メールを送るSMTPとは役割が違います。クラウド上でメールを管理する現在の使い方に向いていますが、サーバ容量やアカウント管理にも注意が必要です。
12,SMTP,エスエムティーピー,32,7,タテ,メールサーバに向けてメールを送るプロトコル,SMTPは、メールを送信するためのプロトコルです。メールソフトからメールサーバへ送るときや、メールサーバ同士で配送するときに使われます。受信や閲覧にはIMAPなど別のプロトコルが使われるため、SMTPだけでメール全体が完結するわけではありません。郵便でいえば、差し出した手紙を配送ルートに乗せる仕組みに近いと考えると分かりやすいです。
24,HTTP,エイチティーティーピー,22,13,ヨコ,Webページを取り寄せるのに使うプロトコル,HTTPは、WebブラウザがWebサーバからページや画像などを取り寄せるためのプロトコルです。URLを入力してページを見るとき、裏側ではHTTPの要求と応答が行われます。HTTPSはHTTPに暗号化などの安全な仕組みを加えたものです。HTMLはページの内容を記述する言語で、HTTPはそれを通信でやり取りする約束事だと分けて理解すると混乱しにくいです。
7,URL,ユーアールエル,21,6,タテ,WWW上のページ等に対応するアドレス,URLは、Web上のページやファイルなどの場所を示す住所のような文字列です。通信方法を示す部分、ドメイン名、フォルダやファイルの場所などから構成されます。URLを見ると、どのサイトにアクセスしているかを確認できるため、フィッシング対策にも役立ちます。ただし、長いURLや似た文字を使った偽サイトもあるので、見た目だけでなくドメイン名を慎重に確認することが大切です。
101,データベース,データベース,2,37,ヨコ,大量のデータを体系的に整理し、容易に共用・再利用できるようにしたもの,データベースは、大量のデータを整理して保存し、必要なときに検索・更新・共有しやすくした仕組みです。図書館の蔵書、商品の在庫、学校の成績、SNSの投稿など、多くの情報システムで使われます。単なる表の集まりではなく、重複を減らし、正確に扱うための設計が重要です。データベース管理システムやRDBとつなげて理解すると、実際のシステムの裏側が見えてきます。
27,データベース管理システム,データベースカンリシステム,29,15,タテ,データベースの機能を実現しているソフトウェア,データベース管理システムは、データベースを作成、保存、検索、更新、管理するためのソフトウェアです。略してDBMSとも呼ばれます。利用者やアプリケーションが安全にデータを使えるよう、権限管理、同時利用、バックアップ、整合性の維持などを担当します。データベースがデータの入れ物だとすると、DBMSはそれを管理し使いやすくする道具です。RDBを扱う製品も多くあります。
117,オープンデータ,オープンデータ,17,43,ヨコ,コンピュータで利用可能なデータ形式で、二次利用が可能なルールで公開されたデータ,オープンデータは、誰でも利用しやすい形式とルールで公開されたデータです。行政の統計、交通情報、気象情報などが例です。二次利用が認められているため、アプリ開発、研究、地域課題の分析などに活用できます。ただし、公開されているからといって自由に何をしてもよいわけではなく、ライセンスや個人情報への配慮が必要です。データ活用社会を考えるうえで重要な用語です。
22,RDB,アールディービー,10,13,ヨコ,データモデルに関係モデルを採用したデータベース,RDBは、リレーショナルデータベースのことで、表の形でデータを管理し、表同士の関係を使って情報を整理するデータベースです。行は1件のデータ、列は項目を表します。学校なら生徒表、クラス表、成績表を分けて関連付けるイメージです。重複を減らし、データの整合性を保ちやすい点が特徴です。SQLという言語で操作されることが多く、実務でも広く使われています。
105,情報システム,ジョウホウシステム,17,38,ヨコ,情報を主に扱うシステム,情報システムは、情報を集め、保存し、処理し、必要な人に提供するための仕組み全体です。コンピュータやネットワークだけでなく、利用者、業務手順、ルールも含めて考えます。POS、予約システム、学校の成績管理、銀行システムなどが例です。システムは機械だけで完結せず、人がどう使うかによって価値や問題点が変わる点が重要です。
36,POS,ポス,22,17,ヨコ,販売時点情報管理システム。販売時点で売れた商品や金額等を記録し在庫管理等に役立てる,POSは、商品が売れた時点で、商品名、価格、数量、時刻などを記録し、販売や在庫管理に役立てる情報システムです。コンビニやスーパーのレジで使われています。売上データを分析すれば、どの商品がいつ売れるかを予測し、発注やキャンペーンに活用できます。単なるレジではなく、データベースやデータ分析とつながる仕組みだと考えると理解しやすいです。
30,散布図,サンプズ,6,16,タテ,横軸と縦軸にそれぞれ別の量をとりデータが当てはまるところに点を打って示すグラフ,散布図は、2つの量の関係を見るために、横軸と縦軸にそれぞれの値を取り、データを点で表したグラフです。身長と体重、気温と売上のような関係を調べるときに使います。点の並び方から相関の有無を考えられますが、相関があるからといって必ず原因と結果の関係があるとは限りません。データ分析では、平均だけでなく点のばらつきを見ることが大切です。
78,テキストマイニング,テキストマイニング,44,28,ヨコ,大量のテキストデータから有益な情報を取り出すこと,テキストマイニングは、アンケートの自由記述、SNS投稿、ニュース記事など大量の文章から、傾向や特徴を取り出す分析方法です。よく出る単語を調べたり、単語同士の関係を見たりします。数字だけでは分かりにくい意見や感情を扱える点が特徴です。ただし、言葉の意味は文脈に左右されるため、結果を機械的に信じすぎず、人間による解釈も必要です。
102,量的データ,リョウテキデータ,18,37,タテ,数値あらわされ数字の大小に意味をもつデータ,量的データは、数値で表され、大小や差に意味があるデータです。身長、気温、点数、時間、金額などが例です。平均や分散を計算したり、散布図で関係を見たりできます。ただし、数字で書かれていても名義尺度や順序尺度のように計算に向かない場合があります。データ分析では、見た目が数値かどうかだけでなく、その数値にどんな意味があるかを確認することが重要です。
99,質的データ,シツテキデータ,41,35,タテ,量的データでないデータ,質的データは、分類や種類を表すデータで、数値の大小として扱うことが主目的ではないものです。血液型、好きな教科、住所の都道府県、アンケートの選択肢などが例です。集計して割合を出したり、棒グラフや円グラフで表したりすることが多いです。数字でコード化されていても、大小や平均に意味がない場合があるので、名義尺度や順序尺度との違いに注意が必要です。
90,比例尺度,ヒレイシャクド,47,32,タテ,数値は0点に意味をもち、比率にも意味がある,比例尺度は、0が「まったくない」ことを意味し、比率にも意味がある尺度です。長さ、重さ、時間、金額などが例です。20kgは10kgの2倍と言えるように、割り算による比較ができます。間隔尺度は差には意味がありますが、比率には注意が必要です。データ分析で平均や割合を扱うとき、尺度の種類を意識すると、計算してよいことと危ない解釈が分かります。
98,順序尺度,ジュンジョシャクド,36,35,ヨコ,数値は順番付のための番号付で、何番目という意味のみ持つ,順序尺度は、順位や段階を表す尺度で、大小関係には意味がありますが、間隔が等しいとは限りません。満足度の1から5、順位、成績評価の段階などが例です。1位と2位の差が、2位と3位の差と同じとは限らない点が重要です。平均を出して使うこともありますが、厳密には解釈に注意が必要です。量的データのように見えても、性質が違う場合があります。
85,間隔尺度,カンカクシャクド,51,31,タテ,数値は差が等しければ違いが等しいという意味がある,間隔尺度は、数値の差に意味があり、同じ差なら同じだけ違うと考えられる尺度です。摂氏温度や西暦年などが例です。20℃は10℃より10℃高いと言えますが、20℃が10℃の2倍暑いとは言いにくいです。0が「何もない」を意味しないため、比例尺度とは区別します。データの種類によって、引き算はできても割り算には注意が必要という理解がポイントです。
96,名義尺度,メイギシャクド,46,34,ヨコ,単なる区別のための番号付けで、数値の大小に意味はない,名義尺度は、単に種類を区別するための尺度です。血液型、出席番号、郵便番号、性別の分類、好きな色などが例です。番号が付いていても大小や平均には意味がありません。たとえば背番号の平均を出しても、選手の特徴を表すとは言えません。データ分析で数値として入力されていると計算したくなりますが、その数値が何を表すのかを確認することが大切です。
15,外れ値,ハズレチ,10,9,ヨコ,他の測定値から外れた値,外れ値は、他のデータから大きく離れた値です。入力ミスの場合もあれば、珍しいけれど正しい観測値の場合もあります。平均は外れ値の影響を受けやすいため、中央値や箱ひげ図を使って確認することがあります。外れ値を見つけたら、すぐに消すのではなく、なぜその値になったのかを考えることが重要です。データ分析では、例外が新しい発見につながることもあります。
56,欠損値,ケッソンチ,5,23,ヨコ,特定の変数が何かしらの理由で欠落していること,欠損値は、データの一部が空欄だったり、測定できなかったりして存在しない値です。アンケートの未回答、センサー故障、入力漏れなどで発生します。欠損値を0として扱うと意味が変わることがあるため注意が必要です。分析では、除外する、平均で補う、別の方法で推定するなどの対応を考えます。データは集めた後にきれいに整える作業も重要です。
109,トレードオフ,トレードオフ,5,39,ヨコ,一方を立てれば他方がまずくなるといった、二つものの間の関係,トレードオフは、一方を良くしようとすると、もう一方が悪くなる関係を指します。たとえば画質を上げるとデータ量が増える、セキュリティを強くすると使いやすさが下がる、といった例があります。情報分野では、速度、費用、安全性、便利さ、正確さのバランスを考える場面が多いです。絶対に良い選択が一つあるとは限らず、目的に応じて優先順位を決めることが大切です。
